id;region;fed_okr;tipnp;Q1;Q2;Q3;Q4;Q5;Q6;Q7;AGE;EDU;GENDER;PROF;INCOME
134;37;1;5;2;0;1;3;3;3;2;36;5;2;3;6
135;21;5;4;2;0;1;4;4;7;2;38;3;2;3;6
136;33;1;4;2;0;2;3;3;3;3;44;5;2;3;6
137;33;1;7;2;0;1;2;2;4;3;37;2;1;3;6
138;36;1;2;2;0;4;4;4;6;3;43;2;1;3;6
139;16;5;5;2;0;1;3;3;3;3;43;3;2;3;7
140;47;2;7;2;0;2;3;3;7;5;44;3;1;3;7
141;46;1;4;2;0;2;3;3;5;3;37;5;1;3;8
142;16;5;2;2;0;1;2;3;6;4;40;3;1;3;9
143;52;5;6;2;0;2;3;3;3;2;45;3;1;3;8
144;2;5;2;2;0;1;3;3;5;2;47;5;2;3;8
145;77;1;1;2;0;4;2;2;5;2;54;5;2;3;8
146;16;5;5;2;0;1;4;4;4;4;50;3;2;3;8
147;18;5;7;2;0;2;3;3;4;3;51;2;1;3;5
148;21;5;4;2;0;3;2;3;3;2;51;3;2;3;6
149;26;5;6;3;0;3;2;1;6;1;45;1;1;3;7
150;46;1;4;3;0;3;1;1;5;3;45;3;1;3;7
151;33;1;6;3;0;2;3;3;5;4;48;3;2;3;7
152;42;7;3;3;0;2;2;4;5;5;52;5;2;3;7
153;50;1;4;3;0;2;3;3;4;2;48;3;1;3;8
154;26;5;4;3;0;2;4;4;7;5;54;3;2;3;8
155;50;1;5;3;0;2;2;4;3;2;55;5;2;3;9
156;47;2;7;3;1;2;2;2;3;3;67;4;2;3;8
157;24;7;7;3;1;2;4;4;7;7;24;5;2;3;7
158;38;7;4;3;1;3;3;3;6;7;34;3;2;3;5
159;38;7;3;3;0;2;4;4;6;6;26;5;1;3;8
160;77;1;1;3;0;2;2;2;7;7;27;5;2;3;9
161;77;1;1;3;0;2;2;2;6;7;43;3;2;3;9
162;26;5;4;3;0;4;1;1;5;5;38;3;2;3;4
163;16;5;6;3;0;1;1;1;7;5;54;5;1;3;8
164;77;1;1;3;0;2;2;2;6;6;46;3;1;3;8
165;39;2;6;3;0;4;4;1;7;7;47;3;1;3;9
166;77;1;1;3;0;2;2;2;7;7;49;3;1;3;9
167;16;5;2;3;0;1;4;4;5;97;24;5;2;3;9
168;25;8;3;3;0;3;2;2;6;97;33;5;2;3;8
169;77;1;1;3;0;3;2;2;5;97;30;3;2;3;9
170;78;2;1;3;0;4;1;1;5;97;30;5;1;3;9
171;78;2;1;3;0;2;2;2;7;97;38;5;1;3;9
172;47;2;7;3;0;2;2;2;5;97;37;2;2;3;9
173;47;2;5;3;0;3;2;2;6;97;48;3;2;3;6
174;77;1;1;3;0;1;4;4;5;97;50;5;2;3;8
175;50;1;7;3;0;2;4;4;6;97;57;3;2;3;9
176;16;5;2;3;0;1;2;3;7;97;51;5;1;3;9
177;61;3;7;3;0;4;4;4;97;2;22;3;2;3;5
178;25;8;7;3;0;4;4;4;97;5;21;3;1;3;7
179;50;1;7;3;0;4;2;2;97;6;22;2;1;3;7
180;73;5;3;3;0;3;3;2;97;5;29;5;1;3;5
181;61;3;7;3;0;4;4;4;97;2;28;3;2;3;6
182;33;1;7;3;0;1;2;2;97;4;25;5;2;3;6
183;61;3;2;3;0;4;1;1;97;4;29;2;2;3;6
184;33;1;7;3;0;1;2;2;97;5;28;3;1;3;6
185;24;7;7;3;0;4;4;3;97;7;34;2;1;3;6
186;63;5;3;3;1;2;4;4;97;7;34;3;1;3;6
187;73;5;6;3;1;4;2;1;97;1;34;5;1;3;7
188;23;3;5;3;1;4;4;1;97;2;28;3;2;3;7
189;61;3;4;3;1;4;4;4;97;2;25;3;1;3;7
190;37;1;4;3;1;4;2;2;97;3;25;2;1;3;7
191;50;1;7;3;1;3;2;2;97;3;27;5;2;3;8
192;77;1;1;3;0;4;2;2;97;3;34;5;2;3;9
193;61;3;7;3;0;4;4;4;97;2;35;2;2;3;5
194;52;5;2;3;0;2;3;4;97;5;42;3;2;3;5
195;50;1;6;3;0;4;2;2;97;2;38;3;2;3;6
196;59;5;2;3;0;2;3;2;97;2;39;5;2;3;6
197;26;5;6;3;0;4;2;2;97;3;42;2;2;3;6
198;68;1;7;3;0;4;1;1;97;4;41;3;2;3;6
199;23;3;5;3;0;4;4;1;97;5;36;5;1;3;6
200;47;2;5;3;0;4;4;1;97;5;37;5;1;3;6
201;61;3;7;3;0;4;4;4;97;2;41;3;1;3;7
202;24;7;6;3;0;4;2;2;97;3;35;4;1;3;7
203;23;3;5;3;0;4;4;4;97;4;39;5;2;3;7
204;50;1;6;3;0;4;2;2;97;7;39;3;1;3;7
205;50;1;7;3;0;4;1;2;97;7;40;3;1;3;7
206;50;1;5;3;0;3;3;3;97;1;38;5;1;3;8
207;77;1;1;3;0;3;1;2;97;4;37;5;2;3;8
208;39;2;6;3;0;4;4;4;97;6;42;5;2;3;8
209;63;5;2;3;0;4;2;2;97;6;44;3;2;3;8
210;37;1;6;3;0;4;3;2;97;3;46;3;2;3;4
211;52;5;2;3;0;4;1;4;97;3;50;3;2;3;5
212;61;3;7;3;0;4;4;4;97;2;56;3;1;3;6
213;50;1;5;3;0;4;4;4;97;2;56;2;1;3;7
214;61;3;7;3;0;4;4;4;97;2;45;3;1;3;7
215;61;3;2;3;0;4;4;1;97;2;51;2;1;3;7
216;16;5;5;3;0;2;3;3;97;3;49;5;1;3;7
217;33;1;7;3;0;1;2;3;97;3;55;3;2;3;7
218;71;1;6;3;0;3;3;3;97;3;52;2;1;3;7
219;71;1;4;3;0;4;4;4;97;4;53;3;2;3;7
220;50;1;6;3;0;3;4;4;97;4;52;5;2;3;8
221;77;1;1;3;0;4;2;4;97;3;55;5;2;3;9
222;25;8;7;3;0;4;4;4;97;7;50;5;2;3;9
223;73;5;3;3;0;1;4;4;97;5;61;2;1;3;7
224;24;7;7;3;0;1;4;4;97;7;61;3;2;3;9
225;66;6;4;0;2;2;4;4;3;3;24;3;1;3;8
226;2;5;2;0;2;4;4;4;5;5;24;3;1;3;8
227;59;5;2;0;2;4;4;4;5;5;34;5;2;3;5
228;72;6;3;0;2;4;4;4;6;3;32;5;2;3;6
229;46;1;4;0;2;3;2;2;2;2;25;3;1;3;7
